Response
Winning more often than losing
Losing more often than winning
Winning more often than losing
Winning more often than losing
Winning more often than losing
Losing more often than winning
Losing more often than winning
Losing more often than winning
Losing more often than winning
Winning more often than losing
Losing more often than winning
Winning more often than losing
Losing more often than winning
Losing more often than winning
Winning more often than losing
Losing more often than winning
Winning more often than losing
Losing more often than winning
Losing more often than winning
Winning more often than losing
Losing more often than winning
Losing more often than winning
Losing more often than winning
Losing more often than winning
Losing more often than winning
Losing more often than winning
Winning more often than losing
Winning more often than losing
Losing more often than winning
Winning more often than losing
Losing more often than winning
Losing more often than winning
Winning more often than losing
Losing more often than winning
Winning more often than losing
Winning more often than losing
Winning more often than losing
Losing more often than winning
Losing more often than winning
Winning more often than losing
Losing more often than winning
Winning more often than losing
Winning more often than losing
Losing more often than winning
Losing more often than winning
Winning more often than losing
Losing more often than winning
Winning more often than losing
Winning more often than losing
Winning more often than losing
Refused
Winning more often than losing
Losing more often than winning
Losing more often than winning
Losing more often than winning
Losing more often than winning
Winning more often than losing
Winning more often than losing
Losing more often than winning
Winning more often than losing
Winning more often than losing
Winning more often than losing
Winning more often than losing
Losing more often than winning
Winning more often than losing
Winning more often than losing
Losing more often than winning
Losing more often than winning
Losing more often than winning
Winning more often than losing
Winning more often than losing
Losing more often than winning
Winning more often than losing
Losing more often than winning
Losing more often than winning
Losing more often than winning
Winning more often than losing
Losing more often than winning
Winning more often than losing
Refused
Winning more often than losing
Winning more often than losing
Losing more often than winning
Losing more often than winning
Losing more often than winning
Losing more often than winning
Winning more often than losing
Losing more often than winning
Losing more often than winning
Losing more often than winning
Losing more often than winning
Losing more often than winning
Losing more often than winning
Losing more often than winning
Winning more often than losing
Winning more often than losing
Losing more often than winning
Losing more often than winning
Winning more often than losing
Winning more often than losing
Losing more often than winning
Winning more often than losing
Winning more often than losing
Winning more often than losing
Winning more often than losing
Winning more often than losing
Losing more often than winning
Losing more often than winning
Losing more often than winning
Losing more often than winning
Losing more often than winning
Losing more often than winning
Losing more often than winning
Losing more often than winning
Losing more often than winning
Losing more often than winning
Losing more often than winning
Winning more often than losing
Winning more often than losing
Losing more often than winning
Losing more often than winning
Losing more often than winning
Winning more often than losing
Losing more often than winning
Losing more often than winning
Winning more often than losing
Losing more often than winning
Losing more often than winning
Winning more often than losing
Losing more often than winning
Losing more often than winning
Winning more often than losing
Losing more often than winning
Losing more often than winning
Losing more often than winning
Winning more often than losing
Losing more often than winning
Losing more often than winning
Winning more often than losing
Winning more often than losing
Winning more often than losing
Losing more often than winning
Losing more often than winning
Losing more often than winning
Losing more often than winning
